Peer2Peer,Sync
,64_64_64,64_64_128,64_128_128,128_128_128,128_128_256,128_256_256,256_256_256
init,236.56199999999995,201.19824999999994,176.71124999999995,184.28825000000003,291.02475000000015,211.99274999999994,259.07275
2D FFT (Sync),0.036192175,0.050704562499999994,0.09582435000000002,0.140388025,0.125985725,0.06892627500000001,0.4394916125
2D FFT Y-Z-Direction,0.5598636124999999,1.0546036124999998,1.3843986000000001,3.0591268499999997,5.959017375,15.161851000000002,25.5342675
Transpose (First Send),0.6102257000000001,1.1301408,1.5079582500000002,3.28944725,6.873333875,16.58653675,27.810513750000002
Transpose (Packing),0.7014182874999999,1.2672292875,1.8199269875,3.7887773749999996,8.467334874999999,20.018651624999997,34.68447
Transpose (Start Local Transpose),0.7036607124999998,1.269648125,1.8224758875000002,3.7912155,8.47043725,20.022932499999996,34.68864875000001
Transpose (Start Receive),0.7158571625000001,1.2850768874999998,1.838607075,3.8209252500000006,8.49676575,20.0615515,34.72671874999999
Transpose (First Receive),0.9513657625,1.8001098750000004,3.1142702499999997,6.903926875000001,14.676985125000005,34.83809375,59.51405125
Transpose (Finished Receive),1.557639,6.514513625000001,8.385740625,15.872670875,23.479325,52.663844999999995,74.86939000000001
Transpose (Unpacking),1.6267043749999999,6.630991375000001,8.615011749999999,16.31516225,24.307554999999997,54.86832625000001,79.72392375000001
1D FFT X-Direction,1.819306125,6.975787250000001,8.965727124999999,17.307987,25.531247500000003,57.632216249999985,84.38108999999999
Run complete,1.8398676250000001,6.9963843750000025,9.034064124999999,17.475675625,25.5731125,57.73794624999999,84.39368875

Peer2Peer,Streams
,64_64_64,64_64_128,64_128_128,128_128_128,128_128_256,128_256_256,256_256_256
init,172.50799999999992,190.18075000000002,176.72899999999993,179.3885,202.0715,219.69,284.20175000000006
2D FFT (Sync),0.04695268750000001,0.074602625,0.1022463875,0.057976162500000004,0.4045564375,1.0379165,0.08760017500000003
2D FFT Y-Z-Direction,0.49110886249999997,0.80895725,1.4238049250000002,3.1264647125,5.8343845000000005,13.025777875,25.89594625
Transpose (First Send),11.624619675,12.564892999999998,13.131796875000001,13.837499124999999,18.512101124999997,26.13450125,37.27665
Transpose (Packing),11.648649075000002,12.709434874999998,13.248135875,14.00172425,18.546720125,26.26012375,38.031048750000004
Transpose (Start Local Transpose),0.7438495125,1.1204865124999999,1.711962325,3.527457375,6.2367708749999995,13.197540499999999,26.08646
Transpose (Start Receive),0.7823086500000002,1.1668462125000003,1.741322675,3.612711875,6.260736249999999,13.221726125,26.105806249999993
Transpose (First Receive),9.636202449999999,11.292625200000002,11.480668875000001,13.47045775,18.8891255,32.69433125,61.20170375
Transpose (Finished Receive),14.491206000000002,15.816921000000002,18.571654625,22.934004625,30.038572500000004,44.83327125000001,79.10428249999998
